	y	x1	x2	x3																			
1	207,73961	193,85862	32,94501	46,26650																			
2	208,60804	195,06752	33,32654	44,86250																			
3	209,15305	195,48997	33,24955	47,08583			1, Отберите факторы на основе анализа матрицы парных корреляций, Постройте диаграммы рассеяния с выбранными факторами и зависимой переменной,																 + 
4	209,62855	194,64251	33,10692	45,44653			2, Постройте две модели регрессии:																
5	206,94937	194,23770	34,63759	48,15185			Парную																
6	208,35689	193,76680	32,67446	47,99367			Множественную																
7	209,90588	196,43518	34,98864	45,12200			3, Оцените качество моделей, используя коэффициент детерминации, стандартную ошибку и среднюю относительную ошибку аппроксимации,																
8	209,02958	195,97593	34,52938	45,86654			4, Проведите тесты на значимость параметров моделей и моделей в целом, 																
9	210,07594	195,54990	33,28777	45,67965			5, Постройте доверительные интервалы для параметров,																
10	211,31451	196,21137	34,30056	44,93851			6, Рассчитайте коэффициенты бетта, дельта и эластичности,																
11	209,91715	195,65200	33,96065	46,37944			7, Проверьте модели на выполнение предпосылок о гомоскедастичности и об отсутствии автокорреляции, Используйте тесты: Гольфелда-Квандта, Бреуша-Пагана, Дарбина-Уотсона, Бреуша-Годфри,																
12	209,90085	195,82415	33,51433	46,37174			8, Сравните модели множественной и парной регрессии с помощью соответствующего теста, Выберите лучшую,																
13	209,89061	196,51441	34,50896	46,10010																			
14	208,51409	195,30388	34,36516	46,55728																			
15	209,15000	195,18175	32,32186	44,98663																			
16	209,22019	195,34602	34,23550	45,52461																			
17	208,76123	195,99640	34,36011	47,96930		1)																	
18	209,63492	196,82966	34,15587	46,42502																			
19	207,75845	194,33767	32,00606	47,03388																			
20	210,23747	195,74844	33,07546	46,39962					зависимая	независимые													
21	209,21473	195,71022	34,20283	47,08541					y	x1	x2	x3											
22	210,53293	196,78100	35,45757	45,13618				y	1				жестко детерминированные										
23	208,82448	194,93863	33,11615	46,93156				x1	0,817827764	1			между y и x1 тесная связь и прямая 										
24	209,30515	195,83962	33,80324	45,02049				x2	0,44394596	0,710404811	1		между y и x2 слабая связь и прямая 										
25	210,71448	195,54760	34,29851	43,81468				x3	-0,633162703	-0,434155427	-0,127703718	1	между y и x3 умеренная связь и обратная										
26	208,25870	194,79759	33,40343	47,09086																			
27	211,79927	197,40446	34,38646	43,69420																			
28	209,36475	195,15533	32,07328	46,17318				Ранжировка 															
29	210,52066	197,23773	34,92431	45,67268				в начале включаем в модель															
30	210,43626	196,24169	34,09239	45,82379				x1															
31	211,16852	196,87864	34,74801	45,99524				x3															
32	210,80090	196,29217	33,85379	46,60923				x2															
33	209,75995	195,27138	32,34672	45,38685																			
34	208,89888	195,29183	33,41876	46,82180																			
35	210,03154	195,65921	33,15367	44,80112																			
36	209,88677	195,96737	33,81978	46,88648																			
37	210,01805	196,11390	34,47537	46,76855																			
38	209,69954	195,93914	34,09538	46,91807																			
39	208,81436	194,93854	33,49596	47,05882																			
40	208,95947	194,69168	32,90780	46,63897																			
41	209,82029	195,32180	33,57941	46,13280																			
42	209,95832	196,43259	33,62120	46,34930																			
43	210,69391	196,75892	34,35709	43,81333																			
44	211,05053	195,95016	32,87500	44,01550																			
45	209,18026	194,53425	31,77781	44,95637																			
46	209,80004	195,49434	32,62046	47,10175																			
47	212,25474	198,10281	35,49801	43,03577																			
48	210,16324	195,38896	33,47273	45,15031																			
