t	GDP        	d1	d2	d3
2009	8334,63	1	0	0
2009	9244,83	0	1	0
2009	10411,33	0	0	1
2009	10816,42	0	0	0
2010	9995,76	1	0	0
2010	10977,04	0	1	0
2010	12086,46	0	0	1
2010	13249,28	0	0	0
2011	13028,84	1	0	0
2011	14481,14	0	1	0
2011	15805,58	0	0	1
2011	16966,97	0	0	0
2012	15182,99	1	0	0
2012	16472,22	0	1	0
2012	17733,54	0	0	1
2012	18775,14	0	0	0
2013	16375,26	1	0	0
2013	17538,84	0	1	0
2013	19058,11	0	0	1
2013	20161,68	0	0	0
2014	17301,59	1	0	0
2014	19051,94	0	1	0
2014	20541,89	0	0	1
2014	22163,06	0	0	0
2015	18454,75	1	0	0
2015	19759,67	0	1	0
2015	21814,91	0	0	1
2015	23064,97	0	0	0
2016	18950,22	1	0	0
2016	20558,18	0	1	0
2016	22339,96	0	0	1
2016	24165,84	0	0	0
2017	20644,07	1	0	0
2017	21971,9	0	1	0
2017	23795,48	0	0	1
2017	25689,9	0	0	0
2018	22438,1	1	0	0
2018	24823,81	0	1	0
2018	27127,18	0	0	1
2018	29486,71	0	0	0
